sample_id,category,question,small_correct,large_prediction,large_correct,large_latency_ms,large_advantage_label
2242,activity_recognition,Which stove is connected to the rightmost burner knob?,1,,,,
243,activity_recognition,Recognize the activity of the second dog on the first row.,1,,,,
1290,activity_recognition,What am I doing?,0,,,,
1025,activity_recognition,What is the knife being used for?,1,,,,
540,how_to_purpose,What is the purpose of the lights on the tree to my right?,1,,,,
1532,how_to_purpose,What can I do with the round object?,1,,,,
1203,how_to_purpose,What is the purpose of the two black rectangular pieces of wood with windows?,1,,,,
1873,how_to_purpose,What is the purpose of the metal gate between the people and the water?,1,,,,
1811,image_attribute_simple_recognition,What direction is the tree on the farthest left branching out to?,1,,,,
214,image_attribute_simple_recognition,What are the yellow objects to the left of the stove top?,0,,,,
2214,image_attribute_simple_recognition,What color is the ball in front of me?,1,,,,
531,image_attribute_simple_recognition,What kind of pastry is the one with chocolate frosting closer to the front?,1,,,,
2088,image_general_reasoning,What is the common theme of these Christmas ornaments?,1,,,,
175,image_general_reasoning,What is the white object with a cable connected to an outlet?,1,,,,
781,image_general_reasoning,Why are those in the bowl on the left?,1,,,,
1344,image_general_reasoning,What color is the unlit candle being held by someone?,1,,,,
594,image_general_reasoning,What is the make of this car?,0,,,,
295,math,What is my speed in km/hr now?,0,,,,
648,math,What is the sum of the three numbers on the card?,0,,,,
90,math,"If the temperature outside yesterday was 90 degrees Fahrenheit, what is the temperature difference today?",0,,,,
1629,math,"If I have two plain Sundaes, how much calories will I be having?",0,,,,
2163,math,What is the exponent to the three sig figs if I use the first digit as the base to log the second digit for the number here?,0,,,,
2438,next_state_prediction,What will I do in about 9 minutes?,0,,,,
627,next_state_prediction,What will the person on the bike do next?,1,,,,
2268,next_state_prediction,What am I about to do?,0,,,,
508,next_state_prediction,What path should I take to reach the building ahead?,1,,,,
1853,next_state_prediction,What will happen if I do not water the red plant anymore?,1,,,,
1495,object_counting,How many green armchairs can you see?,0,,,,
1089,object_counting,How many red cars can you see here?,0,,,,
785,object_counting,How many light brown flower pots can you see?,0,,,,
1375,object_counting,How many lampposts are there?,1,,,,
833,object_counting,How many green cups are on the table?,1,,,,
2471,spatial_reasoning,Where is the white owl relative to the vase of flowers?,0,,,,
1468,spatial_reasoning,How much does the Mega Slinky cost?,1,,,,
1404,spatial_reasoning,Which side of the road are the lampposts on?,0,,,,
1761,text_general_reasoning,How many hit points does the very top face-up Pokemon card have?,0,,,,
826,text_general_reasoning,"If I wanted to get my golf clubs fitted, what shop in front of me do I go to?",0,,,,
1541,text_general_reasoning,What are the directions on this pack for?,1,,,,
1335,text_general_reasoning,What is the name on the crates with bananas on it?,1,,,,
1640,text_general_reasoning,What does it say behind the performer?,1,,,,
342,text_simple_recognition,How many words in total can you see here?,0,,,,
592,text_simple_recognition,What word is written on the second line of the white sign hanging on the middle Christmas tree?,1,,,,
1540,text_simple_recognition,What is the name of the second player on the right screen?,0,,,,
633,text_simple_recognition,What is the name of the restaurant in the back right?,0,,,,
1589,text_simple_recognition,What is the large bold vertical text on the green banner?,1,,,,
