sample_id,category,question,small_failed,router_score,predicted_task
2242,activity_recognition,Which stove is connected to the rightmost burner knob?,0,0.439227,spatial_reasoning
243,activity_recognition,Recognize the activity of the second dog on the first row.,0,0.444412,activity_recognition
1290,activity_recognition,What am I doing?,1,0.480517,activity_recognition
1025,activity_recognition,What is the knife being used for?,0,0.415794,how_to_purpose
540,how_to_purpose,What is the purpose of the lights on the tree to my right?,0,0.557318,how_to_purpose
1532,how_to_purpose,What can I do with the round object?,0,0.564140,image_general_reasoning
1203,how_to_purpose,What is the purpose of the two black rectangular pieces of wood with windows?,0,0.511853,how_to_purpose
1873,how_to_purpose,What is the purpose of the metal gate between the people and the water?,0,0.400848,how_to_purpose
1811,image_attribute_simple_recognition,What direction is the tree on the farthest left branching out to?,0,0.425886,spatial_reasoning
214,image_attribute_simple_recognition,What are the yellow objects to the left of the stove top?,1,0.453618,image_attribute_simple_recognition
2214,image_attribute_simple_recognition,What color is the ball in front of me?,0,0.491457,image_attribute_simple_recognition
531,image_attribute_simple_recognition,What kind of pastry is the one with chocolate frosting closer to the front?,0,0.463670,activity_recognition
2088,image_general_reasoning,What is the common theme of these Christmas ornaments?,0,0.473417,image_attribute_simple_recognition
175,image_general_reasoning,What is the white object with a cable connected to an outlet?,0,0.443640,spatial_reasoning
781,image_general_reasoning,Why are those in the bowl on the left?,0,0.550025,image_general_reasoning
1344,image_general_reasoning,What color is the unlit candle being held by someone?,0,0.421415,image_attribute_simple_recognition
594,image_general_reasoning,What is the make of this car?,1,0.468074,text_general_reasoning
295,math,What is my speed in km/hr now?,1,0.593724,image_attribute_simple_recognition
648,math,What is the sum of the three numbers on the card?,1,0.474818,math
90,math,"If the temperature outside yesterday was 90 degrees Fahrenheit, what is the temperature difference today?",1,0.479089,math
1629,math,"If I have two plain Sundaes, how much calories will I be having?",1,0.637500,math
2163,math,What is the exponent to the three sig figs if I use the first digit as the base to log the second digit for the number here?,1,0.497971,math
2438,next_state_prediction,What will I do in about 9 minutes?,1,0.479977,next_state_prediction
627,next_state_prediction,What will the person on the bike do next?,0,0.577610,next_state_prediction
2268,next_state_prediction,What am I about to do?,1,0.518164,next_state_prediction
508,next_state_prediction,What path should I take to reach the building ahead?,0,0.464859,spatial_reasoning
1853,next_state_prediction,What will happen if I do not water the red plant anymore?,0,0.533472,next_state_prediction
1495,object_counting,How many green armchairs can you see?,1,0.590011,object_counting
1089,object_counting,How many red cars can you see here?,1,0.647657,object_counting
785,object_counting,How many light brown flower pots can you see?,1,0.581491,object_counting
1375,object_counting,How many lampposts are there?,0,0.579363,object_counting
833,object_counting,How many green cups are on the table?,0,0.538615,object_counting
2471,spatial_reasoning,Where is the white owl relative to the vase of flowers?,1,0.606268,spatial_reasoning
1468,spatial_reasoning,How much does the Mega Slinky cost?,0,0.569019,math
1404,spatial_reasoning,Which side of the road are the lampposts on?,1,0.400024,spatial_reasoning
1761,text_general_reasoning,How many hit points does the very top face-up Pokemon card have?,1,0.557716,object_counting
826,text_general_reasoning,"If I wanted to get my golf clubs fitted, what shop in front of me do I go to?",1,0.569188,next_state_prediction
1541,text_general_reasoning,What are the directions on this pack for?,0,0.641585,how_to_purpose
1335,text_general_reasoning,What is the name on the crates with bananas on it?,0,0.396164,text_simple_recognition
1640,text_general_reasoning,What does it say behind the performer?,0,0.429536,text_simple_recognition
342,text_simple_recognition,How many words in total can you see here?,1,0.584776,object_counting
592,text_simple_recognition,What word is written on the second line of the white sign hanging on the middle Christmas tree?,0,0.442191,text_simple_recognition
1540,text_simple_recognition,What is the name of the second player on the right screen?,1,0.315041,text_simple_recognition
633,text_simple_recognition,What is the name of the restaurant in the back right?,1,0.508989,text_simple_recognition
1589,text_simple_recognition,What is the large bold vertical text on the green banner?,0,0.380455,text_simple_recognition
